date,us_score,tw_score,divergence
2010-01-04,,,
2010-01-05,,,
2010-01-06,,,
2010-01-07,,,
2010-01-08,,,
2010-01-11,,,
2010-01-12,,,
2010-01-13,,,
2010-01-14,,,
2010-01-15,,,
2010-01-19,,,
2010-01-20,,,
2010-01-21,,,
2010-01-22,,,
2010-01-25,,,
2010-01-26,,,
2010-01-27,,,
2010-01-28,,,
2010-01-29,,,
2010-02-01,,,
2010-02-02,,,
2010-02-03,,,
2010-02-04,,,
2010-02-05,,,
2010-02-08,,,
2010-02-09,,,
2010-02-10,,,
2010-02-11,,,
2010-02-12,,,
2010-02-16,,,
2010-02-17,,,
2010-02-18,,,
2010-02-19,,,
2010-02-22,,,
2010-02-23,,,
2010-02-24,,,
2010-02-25,,,
2010-02-26,,,
2010-03-01,,,
2010-03-02,,,
2010-03-03,,,
2010-03-04,,,
2010-03-05,,,
2010-03-08,,,
2010-03-09,,,
2010-03-10,,,
2010-03-11,,,
2010-03-12,,,
2010-03-15,,,
2010-03-16,,,
2010-03-17,,,
2010-03-18,,,
2010-03-19,,,
2010-03-22,,,
2010-03-23,,,
2010-03-24,,,
2010-03-25,,,
2010-03-26,,,
2010-03-29,,,
2010-03-30,75.85336519022506,84.11647311533292,8.26310792510786
2010-03-31,70.16790986965182,75.9041510841623,5.736241214510471
2010-04-01,68.51731008793519,76.08258921162297,7.565279123687787
2010-04-05,70.09484209208566,76.08258921162297,6.0
2010-04-06,72.12250781659054,83.49008508486267,11.367577268272129
2010-04-07,65.01033068314779,68.25105291082787,3.240722227680081
2010-04-08,65.78915848627379,71.13684180885787,5.347683322584075
2010-04-09,65.77619139655019,69.31719339249418,3.5410019959439865
2010-04-12,69.19649687967251,67.79720043796904,1.39929644170347
2010-04-13,68.33185240095902,65.81015194940574,2.5217004515532864
2010-04-14,72.106469153141,71.5869189026649,0.5195502504761009
2010-04-15,69.52880168199354,69.25330231369668,0.27549936829686317
2010-04-16,64.30842113684022,64.27677419216107,0.031646944679152966
2010-04-19,68.1263667696917,68.38376925239007,0.2574024826983674
2010-04-20,73.79805142169002,69.63821394335774,4.159837478332278
2010-04-21,69.09524110477483,61.085459823306515,8.009781281468314
2010-04-22,70.43794509316959,65.75124987779098,4.686695215378606
2010-04-23,68.14353271917639,67.65332728866808,0.4902054305083112
2010-04-26,65.65134870989401,67.26561156189207,1.6142628519980633
2010-04-27,39.23398667920192,44.70624115762235,5.472254478420432
2010-04-28,53.7791757264875,54.86224575927021,1.0830700327827074
2010-04-29,61.0031039363264,54.790788394052285,6.212315542274112
2010-04-30,50.10593983353705,41.18173723468398,8.924202598853071
2010-05-03,54.60825973156287,47.81033056381065,6.797929167752216
2010-05-04,44.41597896131922,34.93244071522032,9.483538246098902
2010-05-05,41.89253273600992,38.73864452769885,3.1538882083110664
2010-05-06,24.602196054221046,23.770260689655192,0.8319353645658545
2010-05-07,22.539426528143693,28.24736537297005,5.707938844826359
2010-05-10,36.05134981828282,30.546326934068453,5.50502288421437
2010-05-11,32.49015989992427,30.14271539735698,2.347444502567292
2010-05-12,37.02744594906606,28.48846709026776,8.538978858798302
2010-05-13,34.07035998522173,31.679419531584244,2.3909404536374836
2010-05-14,28.092837331388363,20.991000059615125,7.101837271773238
2010-05-17,30.12423729611343,27.11197444746189,3.0122628486515417
2010-05-18,24.83470530527357,21.829301349000147,3.0054039562734225
2010-05-19,26.356776410986296,28.36114209308265,2.0043656820963527
2010-05-20,20.145288439931395,21.458236481512504,1.3129480415811088
2010-05-21,23.936134107905296,28.13469506818329,4.1985609602779945
2010-05-24,21.021802930104915,18.70064428255248,2.3211586475524335
2010-05-25,25.965126960465714,25.339023512749648,0.6261034477160656
2010-05-26,24.202746599326474,22.395434185399214,1.80731241392726
2010-05-27,32.599262252848824,26.36690225405057,6.232359998798255
2010-05-28,30.461773399594446,27.779958357212102,2.6818150423823433
2010-06-01,24.448723548334016,19.148821264933865,5.299902283400151
2010-06-02,34.427733633658974,26.95786302444651,7.469870609212464
2010-06-03,37.56163381898175,29.63272900383012,7.9289048151516255
2010-06-04,29.75840701313971,20.103151318488237,9.655255694651473
2010-06-07,28.99353610943478,20.846244722137953,8.147291387296825
2010-06-08,28.978355358555614,21.988006371441188,6.990348987114427
2010-06-09,29.29772469154943,26.02077954729821,3.2769451442512185
2010-06-10,35.55455146157546,28.355786865049136,7.1987645965263205
2010-06-11,37.77764264984477,31.51370833712128,6.263934312723492
2010-06-14,39.477252844775265,29.245782191264595,10.23147065351067
2010-06-15,43.697928979238874,32.77143748753956,10.926491491699316
2010-06-16,45.051592644330384,32.77143748753956,12.3
2010-06-17,45.34786505361472,32.88372147144143,12.464143582173286
2010-06-18,48.23507858368968,27.27004192681346,20.96503665687622
2010-06-21,47.5158894998817,42.05470218041155,5.461187319470149
2010-06-22,45.32970377734177,31.26395812609063,14.065745651251142
2010-06-23,43.69654226705977,34.80936181620886,8.887180450850906
2010-06-24,39.602204335102826,34.41616141497242,5.186042920130404
2010-06-25,38.312501549859924,36.09338683181373,2.2191147180461925
2010-06-28,39.274483296790514,34.51825831757603,4.756224979214487
2010-06-29,32.525885263180896,32.57147585246227,0.045590589281374605
2010-06-30,29.124309411363832,31.28662637217458,2.162316960810749
2010-07-01,31.246463468700135,31.891798435332475,0.6453349666323405
2010-07-02,31.50264322006426,37.03596003690605,5.533316816841786
2010-07-06,34.71323108442739,42.68034739745631,7.967116313028917
2010-07-07,40.15693270934906,42.225478773556915,2.068546064207858
2010-07-08,43.16726672660029,47.271851773365924,4.104585046765635
2010-07-09,42.41990682793617,44.27349399069751,1.8535871627613432
2010-07-12,43.03178170080895,45.17430744829766,2.142525747488712
2010-07-13,44.23343046358208,42.89895061143251,1.3344798521495704
2010-07-14,41.967701349067866,48.38053657878741,6.412835229719541
2010-07-15,41.96130686788022,46.46621325741745,4.504906389537233
2010-07-16,36.70757482206104,48.5312905130777,11.823715691016659
2010-07-19,38.42226601560456,42.4787088443018,4.056442828697236
2010-07-20,41.631651508958,44.824419038364255,3.192767529406254
2010-07-21,39.77254397436404,45.313273552936195,5.540729578572154
2010-07-22,43.79411384292599,43.84016300614572,0.04604916321973462
2010-07-23,46.98903180526638,51.61052378609777,4.621491980831394
2010-07-26,49.29720662227977,50.052744563166975,0.7555379408872085
2010-07-27,50.03724797691063,49.830365577235895,0.20688239967473265
2010-07-28,47.39049856805755,52.69755401698528,5.307055448927727
2010-07-29,46.769498512079124,54.3967784559773,7.6272799438981735
2010-07-30,47.85876100529479,50.36754886122752,2.508787855932731
2010-08-02,57.21863513987112,57.82229335747538,0.6036582176042629
2010-08-03,55.388453283594956,57.38313847576693,1.9946851921719713
2010-08-04,52.98957677668214,55.82300556893732,2.8334287922551766
2010-08-05,51.88301548636559,59.99628084876914,8.113265362403546
